timestamp, memory.used [MiB], utilization.gpu [%]
2026/04/23 23:10:42.447, 14 MiB, 0 %
2026/04/23 23:10:43.448, 14 MiB, 0 %
2026/04/23 23:10:44.448, 14 MiB, 0 %
2026/04/23 23:10:45.448, 14 MiB, 0 %
2026/04/23 23:10:46.449, 14 MiB, 0 %
2026/04/23 23:10:47.449, 14 MiB, 0 %
2026/04/23 23:10:48.449, 14 MiB, 0 %
2026/04/23 23:10:49.449, 14 MiB, 0 %
2026/04/23 23:10:50.450, 14 MiB, 0 %
2026/04/23 23:10:51.450, 14 MiB, 0 %
2026/04/23 23:10:52.450, 14 MiB, 0 %
2026/04/23 23:10:53.450, 14 MiB, 0 %
2026/04/23 23:10:54.451, 14 MiB, 0 %
2026/04/23 23:10:55.451, 14 MiB, 0 %
2026/04/23 23:10:56.451, 14 MiB, 0 %
2026/04/23 23:10:57.452, 14 MiB, 0 %
2026/04/23 23:10:58.452, 14 MiB, 0 %
2026/04/23 23:10:59.452, 14 MiB, 0 %
2026/04/23 23:11:00.452, 14 MiB, 0 %
2026/04/23 23:11:01.453, 14 MiB, 0 %
2026/04/23 23:11:02.453, 14 MiB, 0 %
2026/04/23 23:11:03.453, 14 MiB, 0 %
2026/04/23 23:11:04.453, 14 MiB, 0 %
2026/04/23 23:11:05.454, 14 MiB, 0 %
2026/04/23 23:11:06.454, 14 MiB, 0 %
2026/04/23 23:11:07.454, 14 MiB, 0 %
2026/04/23 23:11:08.454, 14 MiB, 0 %
2026/04/23 23:11:09.454, 14 MiB, 0 %
2026/04/23 23:11:10.455, 14 MiB, 0 %
2026/04/23 23:11:11.455, 14 MiB, 0 %
2026/04/23 23:11:12.455, 14 MiB, 0 %
2026/04/23 23:11:13.455, 14 MiB, 0 %
2026/04/23 23:11:14.456, 14 MiB, 0 %
2026/04/23 23:11:15.456, 14 MiB, 0 %
2026/04/23 23:11:16.456, 14 MiB, 0 %
2026/04/23 23:11:17.457, 14 MiB, 0 %
2026/04/23 23:11:18.457, 14 MiB, 0 %
2026/04/23 23:11:19.457, 14 MiB, 0 %
2026/04/23 23:11:20.457, 14 MiB, 0 %
2026/04/23 23:11:21.458, 14 MiB, 0 %
2026/04/23 23:11:22.495, 14 MiB, 0 %
2026/04/23 23:11:23.495, 14 MiB, 0 %
2026/04/23 23:11:24.495, 14 MiB, 0 %
2026/04/23 23:11:25.496, 14 MiB, 0 %
2026/04/23 23:11:26.496, 34 MiB, 0 %
2026/04/23 23:11:27.496, 8535 MiB, 37 %
2026/04/23 23:11:28.497, 13371 MiB, 7 %
2026/04/23 23:11:29.497, 13439 MiB, 84 %
2026/04/23 23:11:30.497, 13439 MiB, 85 %
2026/04/23 23:11:31.497, 13439 MiB, 83 %
2026/04/23 23:11:32.498, 13439 MiB, 86 %
2026/04/23 23:11:33.498, 13439 MiB, 85 %
2026/04/23 23:11:34.498, 13479 MiB, 86 %
2026/04/23 23:11:35.498, 13479 MiB, 84 %
2026/04/23 23:11:36.499, 13479 MiB, 86 %
2026/04/23 23:11:37.499, 13479 MiB, 84 %
2026/04/23 23:11:38.499, 13479 MiB, 85 %
2026/04/23 23:11:39.499, 13479 MiB, 84 %
2026/04/23 23:11:40.499, 13479 MiB, 83 %
2026/04/23 23:11:41.500, 13479 MiB, 83 %
2026/04/23 23:11:42.500, 13479 MiB, 85 %
2026/04/23 23:11:43.500, 13479 MiB, 85 %
2026/04/23 23:11:44.500, 13479 MiB, 87 %
2026/04/23 23:11:45.501, 13479 MiB, 84 %
2026/04/23 23:11:46.501, 13479 MiB, 85 %
2026/04/23 23:11:47.502, 13479 MiB, 85 %
2026/04/23 23:11:48.502, 13479 MiB, 85 %
2026/04/23 23:11:49.503, 13479 MiB, 86 %
2026/04/23 23:11:50.503, 13479 MiB, 84 %
2026/04/23 23:11:51.504, 13479 MiB, 84 %
2026/04/23 23:11:52.504, 13479 MiB, 84 %
2026/04/23 23:11:53.504, 13479 MiB, 83 %
2026/04/23 23:11:54.504, 13479 MiB, 85 %
2026/04/23 23:11:55.504, 13479 MiB, 85 %
2026/04/23 23:11:56.504, 13479 MiB, 86 %
2026/04/23 23:11:57.505, 13479 MiB, 85 %
2026/04/23 23:11:58.505, 13479 MiB, 85 %
2026/04/23 23:11:59.505, 13479 MiB, 85 %
2026/04/23 23:12:00.505, 13479 MiB, 83 %
2026/04/23 23:12:01.505, 13479 MiB, 84 %
2026/04/23 23:12:02.505, 13479 MiB, 86 %
2026/04/23 23:12:03.505, 13479 MiB, 84 %
2026/04/23 23:12:04.506, 13479 MiB, 86 %
2026/04/23 23:12:05.506, 13479 MiB, 83 %
2026/04/23 23:12:06.506, 13479 MiB, 85 %
2026/04/23 23:12:07.506, 13479 MiB, 84 %
2026/04/23 23:12:08.506, 13479 MiB, 84 %
2026/04/23 23:12:09.506, 14 MiB, 0 %
2026/04/23 23:12:10.507, 14 MiB, 0 %
2026/04/23 23:12:11.507, 14 MiB, 0 %
2026/04/23 23:12:12.507, 14 MiB, 0 %
2026/04/23 23:12:13.507, 14 MiB, 0 %
2026/04/23 23:12:14.507, 14 MiB, 0 %
2026/04/23 23:12:15.508, 14 MiB, 0 %
2026/04/23 23:12:16.508, 14 MiB, 0 %
2026/04/23 23:12:17.508, 14 MiB, 0 %
