timestamp, memory.used [MiB], utilization.gpu [%]
2026/04/23 23:17:25.670, 14 MiB, 0 %
2026/04/23 23:17:26.672, 14 MiB, 0 %
2026/04/23 23:17:27.672, 14 MiB, 0 %
2026/04/23 23:17:28.672, 14 MiB, 0 %
2026/04/23 23:17:29.672, 14 MiB, 0 %
2026/04/23 23:17:30.673, 14 MiB, 0 %
2026/04/23 23:17:31.673, 14 MiB, 0 %
2026/04/23 23:17:32.673, 14 MiB, 0 %
2026/04/23 23:17:33.674, 14 MiB, 0 %
2026/04/23 23:17:34.674, 14 MiB, 0 %
2026/04/23 23:17:35.674, 14 MiB, 0 %
2026/04/23 23:17:36.674, 14 MiB, 0 %
2026/04/23 23:17:37.674, 14 MiB, 0 %
2026/04/23 23:17:38.675, 14 MiB, 0 %
2026/04/23 23:17:39.675, 14 MiB, 0 %
2026/04/23 23:17:40.675, 14 MiB, 0 %
2026/04/23 23:17:41.675, 14 MiB, 0 %
2026/04/23 23:17:42.676, 14 MiB, 0 %
2026/04/23 23:17:43.676, 14 MiB, 0 %
2026/04/23 23:17:44.676, 14 MiB, 0 %
2026/04/23 23:17:45.676, 14 MiB, 0 %
2026/04/23 23:17:46.677, 14 MiB, 0 %
2026/04/23 23:17:47.677, 14 MiB, 0 %
2026/04/23 23:17:48.677, 14 MiB, 0 %
2026/04/23 23:17:49.677, 14 MiB, 0 %
2026/04/23 23:17:50.677, 14 MiB, 0 %
2026/04/23 23:17:51.678, 14 MiB, 0 %
2026/04/23 23:17:52.678, 14 MiB, 0 %
2026/04/23 23:17:53.678, 14 MiB, 0 %
2026/04/23 23:17:54.678, 14 MiB, 0 %
2026/04/23 23:17:55.679, 14 MiB, 0 %
2026/04/23 23:17:56.679, 14 MiB, 0 %
2026/04/23 23:17:57.679, 14 MiB, 0 %
2026/04/23 23:17:58.680, 14 MiB, 0 %
2026/04/23 23:17:59.680, 14 MiB, 0 %
2026/04/23 23:18:00.680, 14 MiB, 0 %
2026/04/23 23:18:01.680, 14 MiB, 0 %
2026/04/23 23:18:02.681, 14 MiB, 0 %
2026/04/23 23:18:03.681, 14 MiB, 0 %
2026/04/23 23:18:04.681, 14 MiB, 0 %
2026/04/23 23:18:05.695, 14 MiB, 0 %
2026/04/23 23:18:06.695, 14 MiB, 0 %
2026/04/23 23:18:07.695, 14 MiB, 0 %
2026/04/23 23:18:08.696, 14 MiB, 0 %
2026/04/23 23:18:09.696, 14 MiB, 0 %
2026/04/23 23:18:10.696, 14 MiB, 0 %
2026/04/23 23:18:11.696, 14 MiB, 0 %
2026/04/23 23:18:12.697, 14 MiB, 0 %
2026/04/23 23:18:13.697, 14 MiB, 0 %
2026/04/23 23:18:14.697, 14 MiB, 0 %
2026/04/23 23:18:15.697, 14 MiB, 0 %
2026/04/23 23:18:16.698, 14 MiB, 0 %
2026/04/23 23:18:17.698, 14 MiB, 0 %
2026/04/23 23:18:18.698, 14 MiB, 0 %
2026/04/23 23:18:19.698, 14 MiB, 0 %
2026/04/23 23:18:20.699, 14 MiB, 0 %
2026/04/23 23:18:21.699, 14 MiB, 0 %
2026/04/23 23:18:22.699, 14 MiB, 0 %
2026/04/23 23:18:23.700, 14 MiB, 0 %
2026/04/23 23:18:24.700, 14 MiB, 0 %
2026/04/23 23:18:25.700, 5461 MiB, 36 %
2026/04/23 23:18:26.700, 13219 MiB, 36 %
2026/04/23 23:18:27.700, 13327 MiB, 55 %
2026/04/23 23:18:28.701, 13371 MiB, 56 %
2026/04/23 23:18:29.701, 13373 MiB, 57 %
2026/04/23 23:18:30.701, 13387 MiB, 56 %
2026/04/23 23:18:31.701, 13387 MiB, 56 %
2026/04/23 23:18:32.702, 13437 MiB, 56 %
2026/04/23 23:18:33.702, 13437 MiB, 56 %
2026/04/23 23:18:34.702, 13437 MiB, 56 %
2026/04/23 23:18:35.703, 13437 MiB, 55 %
2026/04/23 23:18:36.703, 13437 MiB, 55 %
2026/04/23 23:18:37.703, 13437 MiB, 56 %
2026/04/23 23:18:38.703, 13437 MiB, 56 %
2026/04/23 23:18:39.704, 13437 MiB, 55 %
2026/04/23 23:18:40.704, 13437 MiB, 55 %
2026/04/23 23:18:41.704, 13437 MiB, 57 %
2026/04/23 23:18:42.704, 13437 MiB, 57 %
2026/04/23 23:18:43.704, 13437 MiB, 56 %
2026/04/23 23:18:44.705, 13437 MiB, 56 %
2026/04/23 23:18:45.705, 13437 MiB, 56 %
2026/04/23 23:18:46.705, 13437 MiB, 56 %
2026/04/23 23:18:47.705, 13437 MiB, 55 %
2026/04/23 23:18:48.706, 13437 MiB, 55 %
2026/04/23 23:18:49.706, 13437 MiB, 55 %
2026/04/23 23:18:50.706, 13437 MiB, 55 %
2026/04/23 23:18:51.706, 13437 MiB, 56 %
2026/04/23 23:18:52.707, 13437 MiB, 51 %
2026/04/23 23:18:53.707, 13437 MiB, 56 %
2026/04/23 23:18:54.707, 13437 MiB, 55 %
2026/04/23 23:18:55.707, 13437 MiB, 56 %
2026/04/23 23:18:56.708, 13437 MiB, 51 %
2026/04/23 23:18:57.708, 13437 MiB, 51 %
2026/04/23 23:18:58.708, 13437 MiB, 52 %
2026/04/23 23:18:59.708, 13437 MiB, 56 %
2026/04/23 23:19:00.709, 13437 MiB, 57 %
2026/04/23 23:19:01.709, 13437 MiB, 54 %
2026/04/23 23:19:02.709, 13437 MiB, 55 %
2026/04/23 23:19:03.709, 13437 MiB, 56 %
2026/04/23 23:19:04.710, 13437 MiB, 56 %
2026/04/23 23:19:05.710, 13437 MiB, 55 %
2026/04/23 23:19:06.710, 13437 MiB, 55 %
2026/04/23 23:19:07.710, 13437 MiB, 54 %
2026/04/23 23:19:08.711, 13437 MiB, 55 %
2026/04/23 23:19:09.711, 13437 MiB, 53 %
2026/04/23 23:19:10.711, 13437 MiB, 56 %
2026/04/23 23:19:11.711, 13437 MiB, 56 %
2026/04/23 23:19:12.712, 13437 MiB, 55 %
2026/04/23 23:19:13.712, 13453 MiB, 52 %
