timestamp, memory.used [MiB], utilization.gpu [%]
2026/04/23 23:12:49.623, 14 MiB, 0 %
2026/04/23 23:12:50.625, 14 MiB, 0 %
2026/04/23 23:12:51.625, 14 MiB, 0 %
2026/04/23 23:12:52.626, 14 MiB, 0 %
2026/04/23 23:12:53.626, 14 MiB, 0 %
2026/04/23 23:12:54.626, 14 MiB, 0 %
2026/04/23 23:12:55.626, 14 MiB, 0 %
2026/04/23 23:12:56.627, 14 MiB, 0 %
2026/04/23 23:12:57.627, 14 MiB, 0 %
2026/04/23 23:12:58.627, 14 MiB, 0 %
2026/04/23 23:12:59.627, 14 MiB, 0 %
2026/04/23 23:13:00.628, 14 MiB, 0 %
2026/04/23 23:13:01.628, 14 MiB, 0 %
2026/04/23 23:13:02.628, 14 MiB, 0 %
2026/04/23 23:13:03.628, 14 MiB, 0 %
2026/04/23 23:13:04.628, 14 MiB, 0 %
2026/04/23 23:13:05.629, 14 MiB, 0 %
2026/04/23 23:13:06.629, 14 MiB, 0 %
2026/04/23 23:13:07.629, 14 MiB, 0 %
2026/04/23 23:13:08.629, 14 MiB, 0 %
2026/04/23 23:13:09.630, 14 MiB, 0 %
2026/04/23 23:13:10.630, 14 MiB, 0 %
2026/04/23 23:13:11.630, 14 MiB, 0 %
2026/04/23 23:13:12.630, 14 MiB, 0 %
2026/04/23 23:13:13.631, 14 MiB, 0 %
2026/04/23 23:13:14.631, 14 MiB, 0 %
2026/04/23 23:13:15.631, 14 MiB, 0 %
2026/04/23 23:13:16.631, 14 MiB, 0 %
2026/04/23 23:13:17.632, 14 MiB, 0 %
2026/04/23 23:13:18.632, 14 MiB, 0 %
2026/04/23 23:13:19.632, 14 MiB, 0 %
2026/04/23 23:13:20.632, 14 MiB, 0 %
2026/04/23 23:13:21.632, 14 MiB, 0 %
2026/04/23 23:13:22.633, 14 MiB, 0 %
2026/04/23 23:13:23.633, 14 MiB, 0 %
2026/04/23 23:13:24.633, 14 MiB, 0 %
2026/04/23 23:13:25.633, 14 MiB, 0 %
2026/04/23 23:13:26.634, 14 MiB, 0 %
2026/04/23 23:13:27.634, 14 MiB, 0 %
2026/04/23 23:13:28.636, 14 MiB, 0 %
2026/04/23 23:13:29.636, 14 MiB, 0 %
2026/04/23 23:13:30.637, 14 MiB, 0 %
2026/04/23 23:13:31.637, 14 MiB, 0 %
2026/04/23 23:13:32.637, 14 MiB, 0 %
2026/04/23 23:13:33.638, 14 MiB, 0 %
2026/04/23 23:13:34.638, 14 MiB, 0 %
2026/04/23 23:13:35.638, 14 MiB, 0 %
2026/04/23 23:13:36.638, 14 MiB, 0 %
2026/04/23 23:13:37.639, 14 MiB, 0 %
2026/04/23 23:13:38.639, 14 MiB, 0 %
2026/04/23 23:13:39.639, 14 MiB, 0 %
2026/04/23 23:13:40.639, 14 MiB, 0 %
2026/04/23 23:13:41.639, 14 MiB, 0 %
2026/04/23 23:13:42.640, 14 MiB, 0 %
2026/04/23 23:13:43.640, 14 MiB, 0 %
2026/04/23 23:13:44.640, 14 MiB, 0 %
2026/04/23 23:13:45.641, 14 MiB, 0 %
2026/04/23 23:13:46.641, 1621 MiB, 0 %
2026/04/23 23:13:47.641, 9943 MiB, 36 %
2026/04/23 23:13:48.641, 13387 MiB, 40 %
2026/04/23 23:13:49.642, 13437 MiB, 77 %
2026/04/23 23:13:50.642, 13437 MiB, 77 %
2026/04/23 23:13:51.642, 13437 MiB, 77 %
2026/04/23 23:13:52.642, 13453 MiB, 77 %
2026/04/23 23:13:53.643, 13453 MiB, 77 %
2026/04/23 23:13:54.643, 13453 MiB, 76 %
2026/04/23 23:13:55.643, 13453 MiB, 77 %
2026/04/23 23:13:56.643, 13475 MiB, 77 %
2026/04/23 23:13:57.644, 13475 MiB, 77 %
2026/04/23 23:13:58.644, 13475 MiB, 77 %
2026/04/23 23:13:59.644, 13475 MiB, 78 %
2026/04/23 23:14:00.644, 13475 MiB, 77 %
